school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,F,15,U,GT3,T,2,3,services,other,course,mother,1,1,1,no,no,yes,yes,yes,yes,yes,no,4,4,3,1,2,2,4,9,10,10
GP,F,17,U,LE3,T,2,4,at_home,at_home,home,mother,2,1,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,5,1,4,12,12,12
GP,M,15,U,LE3,T,3,2,services,services,course,father,1,1,0,no,yes,no,no,yes,no,yes,no,5,3,2,1,1,5,9,12,13,13
GP,F,15,U,GT3,T,2,4,teacher,other,other,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,4,1,4,1,5,6,10,11,11
GP,F,15,U,LE3,T,3,1,health,services,course,mother,1,1,1,no,no,no,yes,yes,yes,no,no,5,3,2,3,5,2,7,9,9,8
GP,F,16,U,GT3,T,4,1,other,other,course,father,1,2,0,no,yes,yes,yes,yes,yes,no,yes,4,3,3,1,2,1,4,13,14,15
MS,M,18,U,LE3,T,3,3,services,services,reputation,mother,2,3,0,no,yes,no,no,yes,yes,yes,no,4,1,2,1,4,5,5,15,15,16
GP,F,15,U,LE3,T,1,4,teacher,other,course,mother,1,2,1,no,yes,no,yes,yes,yes,yes,no,3,3,4,1,4,2,4,8,9,9
GP,F,17,R,GT3,T,4,4,teacher,other,course,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,3,4,1,2,2,1,5,16,17,17
GP,F,18,U,LE3,T,2,1,services,other,course,mother,2,2,0,no,no,yes,no,yes,no,yes,no,3,3,3,2,2,5,7,12,13,14
GP,F,15,U,LE3,T,4,4,health,services,home,mother,3,3,1,no,no,yes,no,no,yes,yes,no,4,2,1,4,2,5,2,10,11,12
GP,M,15,R,LE3,T,2,2,other,other,home,mother,1,2,0,no,yes,yes,yes,no,yes,no,yes,5,2,5,1,4,4,16,10,10,9
GP,F,18,R,LE3,T,4,2,other,other,course,mother,3,1,1,no,yes,no,no,yes,yes,yes,no,5,2,4,1,5,4,5,13,12,12
MS,M,18,U,GT3,T,2,1,health,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,2,4,5,1,1,3,3,12,12,12
GP,M,17,R,GT3,T,2,4,at_home,other,course,mother,2,2,0,no,yes,no,yes,yes,yes,no,no,4,4,5,2,3,3,9,11,12,12
GP,M,18,R,LE3,T,3,1,health,teacher,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,3,3,2,1,1,5,4,10,10,11
GP,F,15,R,GT3,T,1,4,services,other,other,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,5,3,4,1,3,5,3,10,11,11
GP,M,16,U,GT3,T,2,3,other,services,home,mother,1,4,2,yes,yes,yes,no,yes,yes,yes,yes,3,2,2,2,4,3,4,8,9,9
MS,M,18,U,GT3,T,4,3,at_home,services,other,father,1,1,0,no,no,no,no,yes,yes,yes,yes,3,3,5,1,4,3,6,10,11,11
GP,F,16,U,GT3,T,4,3,other,other,home,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,4,2,3,2,2,3,7,12,13,13
GP,M,18,U,GT3,A,1,4,health,other,reputation,mother,1,1,0,no,yes,yes,yes,yes,yes,yes,no,4,5,3,1,1,1,8,9,9,9
GP,M,17,U,LE3,T,4,1,services,health,course,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,3,2,5,1,1,3,5,11,12,11
MS,F,18,U,GT3,T,4,0,services,health,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,yes,4,3,4,1,1,1,5,11,12,13
GP,M,16,U,LE3,T,4,3,services,services,home,father,1,1,1,no,yes,yes,yes,no,yes,yes,no,3,1,5,1,1,5,6,8,9,0
MS,F,16,U,LE3,T,4,2,other,services,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,1,4,2,2,4,3,5,15,16,17
GP,M,16,R,GT3,T,4,1,teacher,other,reputation,mother,2,2,1,no,yes,yes,no,yes,yes,no,yes,3,2,2,1,2,5,15,8,9,8
GP,M,16,U,GT3,T,3,1,other,services,course,father,3,2,0,no,yes,yes,yes,yes,yes,yes,no,4,5,2,1,1,4,4,13,13,14
GP,F,18,U,GT3,T,3,2,other,other,home,father,1,3,0,no,yes,yes,yes,yes,yes,yes,no,5,1,3,1,3,5,1,15,15,16
GP,M,15,R,LE3,T,4,1,at_home,services,home,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,3,2,1,5,9,12,13,13
GP,F,15,R,LE3,T,1,1,services,health,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,yes,5,4,2,5,1,3,8,9,9,9
GP,M,15,R,GT3,T,2,4,at_home,other,home,mother,1,4,0,no,no,yes,yes,no,yes,yes,yes,4,3,4,2,5,1,7,12,14,14
GP,M,15,R,GT3,T,1,2,services,services,course,mother,2,3,0,no,no,yes,no,yes,yes,yes,yes,4,2,2,1,1,5,9,11,12,12
